Date,Close
02/01/2023 16:56:00,"14,3"
03/01/2023 16:56:00,"14,57"
04/01/2023 16:56:00,"14,97"
05/01/2023 16:56:00,"14,8"
06/01/2023 16:56:00,"14,55"
09/01/2023 16:56:00,"14,81"
10/01/2023 16:56:00,"15,09"
11/01/2023 16:56:00,"15,59"
12/01/2023 16:56:00,"15,71"
13/01/2023 16:56:00,"15,75"
16/01/2023 16:56:00,"16,37"
17/01/2023 16:56:00,"16,36"
18/01/2023 16:56:00,"16,3"
19/01/2023 16:56:00,"16,37"
20/01/2023 16:56:00,"16,22"
23/01/2023 16:56:00,"16,32"
24/01/2023 16:56:00,"16,79"
25/01/2023 16:56:00,"16,79"
26/01/2023 16:56:00,"16,68"
27/01/2023 16:56:00,"16,36"
30/01/2023 16:56:00,"16,34"
31/01/2023 16:56:00,"16,35"
01/02/2023 16:56:00,"16,32"
02/02/2023 16:56:00,"16,52"
03/02/2023 16:56:00,"16,47"
06/02/2023 16:56:00,"16,46"
07/02/2023 16:56:00,"16,97"
08/02/2023 16:56:00,"16,64"
09/02/2023 16:56:00,"16,25"
10/02/2023 16:56:00,"16,12"
13/02/2023 16:56:00,16
14/02/2023 16:56:00,"16,24"
15/02/2023 16:56:00,"16,42"
16/02/2023 16:56:00,"16,24"
17/02/2023 16:56:00,"16,56"
22/02/2023 16:56:00,"16,1"
23/02/2023 16:56:00,"16,07"
24/02/2023 16:56:00,"16,08"
27/02/2023 16:56:00,"16,08"
28/02/2023 16:56:00,"16,59"
01/03/2023 16:56:00,"16,89"
02/03/2023 16:56:00,"17,38"
03/03/2023 16:56:00,"17,95"
06/03/2023 16:56:00,18
07/03/2023 16:56:00,"18,23"
08/03/2023 16:56:00,"18,15"
09/03/2023 16:56:00,"17,98"
10/03/2023 16:56:00,19
13/03/2023 16:56:00,"18,8"
14/03/2023 16:56:00,"19,53"
15/03/2023 16:56:00,"19,51"
16/03/2023 16:56:00,"19,99"
17/03/2023 16:56:00,"20,17"
20/03/2023 16:56:00,"19,95"
21/03/2023 16:56:00,"20,28"
22/03/2023 16:56:00,"20,18"
23/03/2023 16:56:00,"20,54"
24/03/2023 16:56:00,"20,5"
27/03/2023 16:56:00,"20,45"
28/03/2023 16:56:00,"20,59"
29/03/2023 16:56:00,"21,05"
30/03/2023 16:56:00,"20,98"
31/03/2023 16:56:00,"20,79"
03/04/2023 16:56:00,"20,66"
04/04/2023 16:56:00,"20,81"
05/04/2023 16:56:00,"19,72"
06/04/2023 16:56:00,"19,65"
10/04/2023 16:56:00,"19,88"
11/04/2023 16:56:00,"20,5"
12/04/2023 16:56:00,"20,21"
13/04/2023 16:56:00,"20,27"
14/04/2023 16:56:00,"20,47"
17/04/2023 16:56:00,"20,43"
18/04/2023 16:56:00,"20,59"
19/04/2023 16:56:00,"20,76"
20/04/2023 16:56:00,"20,25"
24/04/2023 16:56:00,"20,19"
25/04/2023 16:56:00,"19,82"
26/04/2023 16:56:00,"19,66"
27/04/2023 16:56:00,"19,19"
28/04/2023 16:56:00,"19,42"
02/05/2023 16:56:00,"19,22"
03/05/2023 16:56:00,"18,74"
04/05/2023 16:56:00,"16,92"
05/05/2023 16:56:00,"16,5"
08/05/2023 16:56:00,"16,4"
09/05/2023 16:56:00,"16,45"
10/05/2023 16:56:00,"16,81"
11/05/2023 16:56:00,"17,08"
12/05/2023 16:56:00,"17,55"
15/05/2023 16:56:00,"17,65"
16/05/2023 16:56:00,"17,85"
17/05/2023 16:56:00,"18,1"
18/05/2023 16:56:00,"18,08"
19/05/2023 16:56:00,"18,02"
22/05/2023 16:56:00,"18,03"
23/05/2023 16:56:00,"17,76"
24/05/2023 16:56:00,"17,39"
25/05/2023 16:56:00,"18,08"
26/05/2023 16:56:00,"18,48"
29/05/2023 16:56:00,"18,81"
30/05/2023 16:56:00,"18,88"
31/05/2023 16:56:00,"19,02"
01/06/2023 16:56:00,"19,46"
02/06/2023 16:56:00,"19,49"
05/06/2023 16:56:00,"19,45"
06/06/2023 16:56:00,"19,55"
07/06/2023 16:56:00,"19,24"
09/06/2023 16:56:00,"19,51"
12/06/2023 16:56:00,"19,67"
13/06/2023 16:56:00,"20,08"
14/06/2023 16:56:00,"20,4"
15/06/2023 16:56:00,"20,55"
16/06/2023 16:56:00,"20,13"
19/06/2023 16:56:00,"20,2"
20/06/2023 16:56:00,"19,26"
21/06/2023 16:56:00,"17,83"
22/06/2023 16:56:00,"17,27"
23/06/2023 16:56:00,"17,31"
26/06/2023 16:56:00,"17,06"
27/06/2023 16:56:00,"17,43"
28/06/2023 16:56:00,"18,18"
29/06/2023 16:56:00,"18,43"
30/06/2023 16:56:00,"18,54"
03/07/2023 16:56:00,"18,4"
04/07/2023 16:56:00,"18,3"
05/07/2023 16:56:00,"18,75"
06/07/2023 16:56:00,"18,6"
07/07/2023 16:56:00,"18,23"
10/07/2023 16:56:00,"18,13"
11/07/2023 16:56:00,"17,98"
12/07/2023 16:56:00,"17,72"
13/07/2023 16:56:00,"17,96"
14/07/2023 16:56:00,"17,45"
17/07/2023 16:56:00,"17,5"
18/07/2023 16:56:00,"17,32"
19/07/2023 16:56:00,"17,39"
20/07/2023 16:56:00,"17,18"
21/07/2023 16:56:00,"17,61"
24/07/2023 16:56:00,"18,38"
25/07/2023 16:56:00,"18,22"
26/07/2023 16:56:00,"18,2"
27/07/2023 16:56:00,"18,13"
28/07/2023 16:56:00,"18,37"
31/07/2023 16:56:00,"18,51"
01/08/2023 16:56:00,"18,75"
02/08/2023 16:56:00,"18,67"
03/08/2023 16:56:00,"18,42"
04/08/2023 16:56:00,"17,5"
07/08/2023 16:56:00,"17,88"
08/08/2023 16:56:00,"18,03"
09/08/2023 16:56:00,"18,03"
10/08/2023 16:56:00,"18,03"
11/08/2023 16:56:00,"18,46"
14/08/2023 16:56:00,"18,22"
15/08/2023 16:56:00,"18,22"
16/08/2023 16:56:00,"18,21"
17/08/2023 16:56:00,"18,4"
18/08/2023 16:56:00,"18,69"
21/08/2023 16:56:00,"18,73"
22/08/2023 16:56:00,"19,13"
23/08/2023 16:56:00,"19,36"
24/08/2023 16:56:00,"18,7"
25/08/2023 16:56:00,"18,49"
28/08/2023 16:56:00,"19,02"
29/08/2023 16:56:00,"19,05"
30/08/2023 16:56:00,"19,32"
31/08/2023 16:56:00,"19,49"
01/09/2023 16:56:00,"19,8"
04/09/2023 16:56:00,"19,98"
05/09/2023 16:56:00,"19,44"
06/09/2023 16:56:00,"19,41"
08/09/2023 16:56:00,"18,44"
11/09/2023 16:56:00,"18,32"
12/09/2023 16:56:00,"18,11"
13/09/2023 16:56:00,"18,27"
14/09/2023 16:56:00,"17,79"
15/09/2023 16:56:00,"17,72"
18/09/2023 16:56:00,"17,95"
19/09/2023 16:56:00,"17,55"
20/09/2023 16:56:00,"17,92"
21/09/2023 16:56:00,"17,56"
22/09/2023 16:56:00,"17,55"
25/09/2023 16:56:00,"17,1"
26/09/2023 16:56:00,"17,12"
27/09/2023 16:56:00,"16,95"
28/09/2023 16:56:00,"17,15"
29/09/2023 16:56:00,"17,22"
02/10/2023 16:56:00,"17,15"
03/10/2023 16:56:00,"16,92"
04/10/2023 16:56:00,"16,71"
05/10/2023 16:56:00,"16,67"
06/10/2023 16:56:00,"16,72"
09/10/2023 16:56:00,"16,8"
10/10/2023 16:56:00,"17,39"
11/10/2023 16:56:00,"17,47"
13/10/2023 16:56:00,"17,01"
16/10/2023 16:56:00,"17,59"
17/10/2023 16:56:00,"17,69"
18/10/2023 16:56:00,"17,83"
19/10/2023 16:56:00,"17,83"
20/10/2023 16:56:00,"17,75"
23/10/2023 16:56:00,"17,9"
24/10/2023 16:56:00,"17,79"
25/10/2023 16:56:00,"17,65"
26/10/2023 16:56:00,"17,95"
27/10/2023 16:56:00,"17,37"
30/10/2023 16:56:00,"17,38"
31/10/2023 16:56:00,"17,59"
01/11/2023 16:56:00,"17,95"
03/11/2023 16:56:00,"18,66"
06/11/2023 16:56:00,"18,62"
07/11/2023 16:56:00,"18,35"
08/11/2023 16:56:00,"19,07"
09/11/2023 16:56:00,"18,85"
10/11/2023 16:56:00,"19,25"
13/11/2023 16:56:00,"19,03"
14/11/2023 16:56:00,"19,5"
16/11/2023 16:56:00,"19,68"
17/11/2023 16:56:00,"19,89"
20/11/2023 16:56:00,"19,97"
21/11/2023 16:56:00,"19,72"
22/11/2023 16:56:00,"20,1"
23/11/2023 16:56:00,"20,12"
24/11/2023 16:56:00,"20,02"
27/11/2023 16:56:00,"20,27"
28/11/2023 16:56:00,"19,92"
29/11/2023 16:56:00,"20,39"
30/11/2023 16:56:00,"21,5"
01/12/2023 16:56:00,"22,84"
04/12/2023 16:56:00,23
05/12/2023 16:56:00,"23,22"
06/12/2023 16:56:00,"23,2"
07/12/2023 16:56:00,"23,24"
08/12/2023 16:56:00,"23,14"
11/12/2023 16:56:00,"23,8"
12/12/2023 16:56:00,"23,89"
13/12/2023 16:56:00,"24,36"
14/12/2023 16:56:00,"23,9"
15/12/2023 16:56:00,"23,87"
18/12/2023 16:56:00,"23,38"
19/12/2023 16:56:00,"22,74"
20/12/2023 16:56:00,"22,47"
21/12/2023 16:56:00,"22,63"
22/12/2023 16:56:00,"22,74"
26/12/2023 16:56:00,"22,52"
27/12/2023 16:56:00,"22,66"
28/12/2023 16:56:00,"22,39"
